deutsch,englisch
Ton,tone
Donnerstag,Thursday
heute,today
Dezember,December
Orchester,orchestra
sich unterhalten,to converse
vermissen,miss
Urlaub,pass
Schauspieler,actor
EnglÃ¤nder,Englishman
neu,new
Zitrone,lemon
feiern,to celebrate
Italien,Italy
lÃ¶sen,to solve
Bohne,bean
Pfund Sterling,pound sterling
Kultur,culture
Maschine,machine
vÃ¶llig,fully
Kunst,art
links,on the left
Viel GlÃ¼ck,good luck
siebzig,seventy
Fett,grease
furchtbar,awfully
Gebirge,mountain chain
dick,corpulent
Uhr,clock
FrÃ¤ulein,Miss
anstatt,instead
Gabel,fork
Vorname,first name
Fortsetzung,continuation
Gast,guest
kÃ¼hl,cool
hÃ¤ufig,frequent
Fieber,fever
wieviel,how much
WÃ¤rme,warmth
Motor,motor
Ferien,vacation
Mathematik,mathematics
typisch,typical
gemÃ¼tlich,homy
Lippe,lip
Professor,professor
Musik,music
Freiheit,freedom
weiblich,feminine
leben,to be alive
Ente,duck
atmen,to breathe
Ã¼bermorgen,the day after tomorrow
Jesus Christus,Jesus Christ
Appetit,appetite
Leiter,ladder
Welt,world
Punkt,dot
Australien,Australia
Stier,bull
Kuchen,cake
Frau,woman
offenbar,obviously
irgendwo,anywhere
frieren,to freeze
verhindern,to embarrass
Postamt,post office
Wahrheit,reality
rÃ¼ckwÃ¤rts,on one's back
Kirsche,cherry
willkommen,welcome
Ehe,marriage
China,China
Revolution,revolution
hassen,to hate
Christ,Christian
Rauch,smoke
Schiff,ship
Portugal,Portugal
sicher,secure
zurÃ¼ckkehren,to go back
Zoll,inch
bestehen aus,to consist of
Sturm,storm
GlÃ¼ck,happiness
kosten,to cost
Einladung,invitation
tÃ¼rkisch,Turkish
Hund,dog
Meile,mile
rauchen,to smoke
Sohn,son
gelb,yellow
Montag,Monday
Regen,rain
Blume,flower
wenigstens,at least
lÃ¤cheln,to smile
Tee,tea
Weihnachten,Christmas
Raum,space
bunt,multicoloured
StraÃŸe,street
Rose,rose
Zuschauer,spectator
GemÃ¼se,vegetable
regnen,to rain
Fluss,river
anstellen,to switch on
HollÃ¤nder,Hollander
Balkon,balcony
Esel,donkey
Haus,house
Familie,family
weiter,farther
Thema,theme
Fensterscheibe,window-glass
Staub,dust
Kategorie,category
SÃ¼damerika,South America
Arbeiter,worker
Ei,egg
Juli,July
Blut,blood
Penny,penny
Flug,flight
BÃ¼rste,brush
eintreten,to go in
entlang,along
privat,private
Irland,Ireland
kalt,chilly
Zahnarzt,dentist
Butter,butter
bremsen,to brake
wÃ¼nschen,to desire
britisch,British
Jahr,year
Maus,mouse
lÃ¤cherlich,ridiculous
Bushaltestelle,busstop
Wille,willingness
Kilometer,kilometre
siebzehn,seventeen
dreizehn,thirteen
Gesundheit,health
heute abend,this evening
singen,to sing
Hotel,hotel
Sprache,language
Durst,thirst
Konditorei,confectionery
Politik,politics
fÃ¼nfzehn,fifteen
Ruhe,repose
Pfeffer,pepper
HÃ¶he,altitude
ParfÃ¼m,perfume
Frost,frost
Medizin,practice of medicine
dulden,to tolerate
Sturm,tempest
brennen,to flame
Problem,problem
Bombe,bomb
Schinken,ham
hÃ¤sslich,ugly
sechzehn,sixteen
LÃ¶ffel,spoon
Strumpf,stocking
August,August
Tasse,cup
Mut,courage
Milch,milk
Salz,salt
Gericht,courtroom
KÃ¶chin,female cook
gesittet,civilized
aufrichtig,sincere
Thermometer,thermometer
vierzehn,fourteen
mÃ¶gen,to be fond of
ausdrÃ¼cken,to express
MÃ¶bel,piece of furniture
Heizung,heating
Krieg,war
seit,ever since
Terrasse,terrace
Wind,wind
Geld,money
Student,student
danke,thank you
Examen,examination
Knie,knee
schneiden,to slice
interessieren,to interest
Weizen,wheat
Braut,fiancÃ©e
StaatsangehÃ¶rigkeit,nationality
Klinik,clinic
Gedanke,thought
Hauptstadt,capital city
GroÃŸvater,grandfather
abends,in the evening
Gewissen,conscience
hoffen,to hope
bewundern,to admire
Mannschaft,crew
Minute,minute
Teppich,carpet
Lehrer,instructor
Spanien,Spain
Monat,month
ZahnbÃ¼rste,tooth-brush
Ãœberschrift,superscription
wunderbar,wonderful
unten,downstairs
Korn,granule
Frage,question
Schnee,snow
wohnen,to dwell
sich setzen,to sit down
EnglÃ¤nderin,Englishwoman
vierzig,forty
Abend,evening
entsprechen,to equal
Gymnasium,high school
heiraten,to wed
wiegen,to lull
begleiten,to accompany
Friede,peace
achtzehn,eighteen
Flugzeug,aircraft
weinen,to cry
Postkarte,postcard
Maler,painter
Frankreich,France
neunzig,ninety
Schere,scissors
nervÃ¶s,nervous
nennen,to mention
Sonne,sun
Bad,bath
einundzwanzig,twenty-one
Rad,wheel
Person,person
Salat,salad
Adresse,address
fest,abiding
Ehe,matrimony
Ingenieur,engineer
worin,wherein
Farbe,colour
Baum,tree
Personal,personnel
international,international
Stuhl,chair
GroÃŸeltern,grandparents
achtzig,eighty
Leute,persons
aussteigen,to get out
Enkel,grandson
Februar,February
Korb,basket
Ring,ring
Woche,week
Eltern,parents
verfÃ¼gen,to decree
Land,country
Schokolade,chocolate
Post,mail
Schatten,shadow
Gramm,gramme
bestehen,to consist
Kopf,head
spielen,to play
Zucker,sugar
Geist,wit
Juni,June
Kohle,coal
sechzig,sixty
westlich,western
nicht mehr,no longer
Blatt,leaf
Signal,signal
Limonade,lemonade
Tourist,tourist
StrÃ¶mung,flow
nass,wet
flach,shallow
Cent,cent
Preis,price
Vieh,cattle
Magen,stomach
vermieten,to rent out
Afrika,Africa
Studium,study
zwingen,to compel
erinnern,to remind
Wahrheit,truth
Wein,wine
einzig,unique
Mond,moon
faul,lazy
Kopfschmerzen,headache
tief,deep
Freundschaft,friendship
warm,warm
Gemeinde,community
Zigarette,cigarette
Theater,theatre
Begegnung,encounter
Fleischer,butcher
SchÃ¼ler,pupil
national,national
